source,relative_path,classification,available,size_bytes,modified,priority,potential_use
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v6_largo.csv,output de modelo,True,40246,2026-07-05T15:10:20,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v7.csv,output de modelo,True,10019,2026-07-05T16:05:19,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v7_largo.csv,output de modelo,True,31340,2026-07-05T16:05:19,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v8.csv,output de modelo,True,10019,2026-07-05T16:21:29,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v8_largo.csv,output de modelo,True,31340,2026-07-05T16:21:29,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v9.csv,output de modelo,True,10019,2026-07-05T16:37:15,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v9_largo.csv,output de modelo,True,31340,2026-07-05T16:37:15,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/__init__.py,codigo,True,112,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/config/defaults.py,codigo,True,702,2026-07-13T20:23:32,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/config/__init__.py,codigo,True,47,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/data/loaders.py,codigo,True,7789,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/data/__init__.py,codigo,True,48,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/dispatch/model.py,codigo,True,8824,2026-07-13T20:24:11,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/dispatch/__init__.py,codigo,True,47,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/reporting/outputs.py,codigo,True,3677,2026-07-13T20:22:32,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/reporting/__init__.py,codigo,True,34,2026-07-13T20:20:01,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/risk/cvar.py,codigo,True,854,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/risk/__init__.py,codigo,True,34,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/thermal/merit.py,codigo,True,3111,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/thermal/__init__.py,codigo,True,51,2026-07-13T20:20:00,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/validation/checks.py,codigo,True,778,2026-07-13T20:20:01,False,referencia/no prioritario
sddp_previous,src/minenergia_sddp/validation/__init__.py,codigo,True,33,2026-07-13T20:20:01,False,referencia/no prioritario
sddp_previous,tests/test_dispatch_model.py,codigo,True,4667,2026-07-13T20:21:36,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/CHANGELOG.md,documentacion,True,341,2026-07-13T13:53:25,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/install.ps1,no relevante,True,1155,2026-07-13T13:53:25,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/PERMISSIONS.md,documentacion,True,1770,2026-07-13T13:53:24,False,referencia/no prioritario
