target,severity,issue,Date,Hour,code,DispoReal_MW,DispoCome_MW,DispoDeclarada_MW,CapEfecNeta_MW,declared_gt_capacity,real_gt_capacity,commercial_gt_capacity,abs_declared_real_diff_mw,abs_declared_commercial_diff_mw,abs_real_commercial_diff_mw,has_any_availability,resource_without_capacity
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour15,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour16,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour17,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour18,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour19,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour20,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour21,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour22,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour23,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour24,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour01,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour02,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour03,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour04,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour05,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour06,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour07,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour08,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour09,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour10,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour11,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour12,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour13,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour14,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour15,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour16,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour17,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour18,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour19,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour20,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour21,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour22,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour23,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-04,Hour24,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour01,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour02,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour03,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour04,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour05,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour06,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour07,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour08,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour09,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour10,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour11,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour12,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour13,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour14,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour15,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour16,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour17,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour18,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour19,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour20,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour21,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour22,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour23,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-05,Hour24,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour01,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour02,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour03,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour04,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour05,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour06,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour07,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour08,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour09,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour10,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour11,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour12,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour13,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour14,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour15,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour16,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour17,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour18,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour19,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour20,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour21,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour22,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour23,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-06,Hour24,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour01,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour02,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour03,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour04,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour05,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour06,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour07,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour08,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour09,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour10,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour11,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour12,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour13,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour14,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour15,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour16,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour17,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour18,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour19,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour20,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour21,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-07,Hour22,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
