target,call_id,raw_path,raw_sha256,normalized_path,records,unit_catalog,unit_effective,unit_override_applied,override_reason,derived_columns,date_min,date_max,covered_code_count,covered_codes
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b001.json,3d7f4e3689fef46a52166e69209b7077b37029fa00e580e980fd8f19ceee5179,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b001__normalized_v2.csv,1680,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""2QEK"", ""3ENA"", ""4YCN"", ""5QT6"", ""ALBG"", ""CHBG"", ""CHVR"", ""CLL1"", ""CLMG"", ""CTG1""]"
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b002.json,56c42caaf1ed89d1f062d3049b9357894de7b29c06829bab99fb157de939394f,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b002__normalized_v2.csv,1680,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""CTG2"", ""CTG3"", ""CUC1"", ""DVS1"", ""ESMR"", ""GE32"", ""GEC3"", ""GTPE"", ""GTRG"", ""GVIO""]"
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b003,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b003.json,299ea3ebf8739fdbd677aa2e091cf64755e0913b58cb367bb4301826b29036df,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b003__normalized_v2.csv,1680,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""HMIN"", ""HMLG"", ""JAGS"", ""LTSJ"", ""MOY1"", ""MRL1"", ""PES1"", ""PGUG"", ""PLYS"", ""PPA1""]"
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b004,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b004.json,3d86524b682372e36d1026c232bf58b3fe6b8bf8afe88316f1978c803be9b878,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b004__normalized_v2.csv,1680,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""PPA2"", ""PPA3"", ""PPA4"", ""PRC2"", ""PRC3"", ""PRDO"", ""PRG1"", ""PRG2"", ""QUI1"", ""SLVJ""]"
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b005,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b005.json,9c679ef53174eb527be97dc3ae058b0ebdc8eb3fd802f876f30a11edb114996c,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b005__normalized_v2.csv,1680,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""SMI1"", ""SNCR"", ""SNFR"", ""SOG1"", ""TBQ3"", ""TBQ4"", ""TBST"", ""TCBE"", ""TCDT"", ""TDR1""]"
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b006,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b006.json,3edc2e0fb78e7aaba5ed87d8c31d4563262070c7489bdfff13b212be47ea9b8c,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b006__normalized_v2.csv,1680,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""TEC1"", ""TFL1"", ""TFL4"", ""TGJ1"", ""TGJ2"", ""TRM1"", ""TRN1"", ""TSJ1"", ""TSJ2"", ""TSR1""]"
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b007,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b007.json,95eb4e7e957696eda0418374c266dc10e296c9a92f057541a9ee4729f65d3629,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b007__normalized_v2.csv,1680,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,10,"[""TUJ1"", ""TVL1"", ""TYP1"", ""TYP2"", ""TYP3"", ""TYP4"", ""TYP5"", ""URA1"", ""ZPA2"", ""ZPA3""]"
disponibilidad_comercial_recurso,disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b008,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b008.json,e0aeffd7d43ec460263ec58835825e548cfbfa5b014abecbbc741ef6739ffc23,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_comercial_recurso\disponibilidad_comercial_recurso__2026-06-01__2026-06-07__b008__normalized_v2.csv,336,kW,kW,False,,"[""Value_MW""]",2026-06-01,2026-06-07,2,"[""ZPA4"", ""ZPA5""]"
disponibilidad_declarada_recurso,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_declarada_recurso\disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b001.json,fc7d64d52a1427c70c2c71b9dcc24530e4c6b257f6bf0881b9846a60043f94d3,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_declarada_recurso\disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b001__normalized_v2.csv,1680,kWh,kW,True,"La magnitud y comportamiento horario coinciden con CapEfecNeta, DispoReal y DispoCome y la descripcion oficial corresponde a potencia neta.","[""Value_MW""]",2026-06-01,2026-06-07,10,"[""2QEK"", ""3ENA"", ""4YCN"", ""5QT6"", ""ALBG"", ""CHBG"", ""CHVR"", ""CLL1"", ""CLMG"", ""CTG1""]"
disponibilidad_declarada_recurso,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\disponibilidad_declarada_recurso\disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b002.json,d14d460165f3defdcbaa4366d9dc191d684e2f9f1c7f468a4ce5ae2e3d45aeb5,data\interim\xm\pilot_20260601_20260607_normalized_v2\disponibilidad_declarada_recurso\disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b002__normalized_v2.csv,1680,kWh,kW,True,"La magnitud y comportamiento horario coinciden con CapEfecNeta, DispoReal y DispoCome y la descripcion oficial corresponde a potencia neta.","[""Value_MW""]",2026-06-01,2026-06-07,10,"[""CTG2"", ""CTG3"", ""CUC1"", ""DVS1"", ""ESMR"", ""GE32"", ""GEC3"", ""GTPE"", ""GTRG"", ""GVIO""]"
