Date,Hour,code,DispoReal_MW,DispoCome_MW,DispoDeclarada_MW,CapEfecNeta_MW,declared_gt_capacity,real_gt_capacity,commercial_gt_capacity,abs_declared_real_diff_mw,abs_declared_commercial_diff_mw,abs_real_commercial_diff_mw,has_any_availability,resource_without_capacity
2026-06-03,Hour17,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour18,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour19,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour20,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour21,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour22,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour23,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour24,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour01,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour02,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour03,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour04,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour05,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour06,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour07,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour08,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour09,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour10,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour11,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour12,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour13,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour14,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour15,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour16,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour17,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
